weekday,days,hours,abs_time_days,abs_time_hours,Activity,BPM,RMSSD,Quality,Comments
1,0,14.0,0.5833333333333334,14.0,28,89,778.23,0.13,Invalid data
1,0,14.083333333333334,0.5868055555555556,14.083333333333334,0,0,812.2,0.06,Invalid data
1,0,14.166666666666666,0.5902777777777778,14.166666666666666,0,81,755.44,0.13,Invalid data
1,0,14.25,0.59375,14.25,0,103,772.04,0.06,Invalid data
1,0,14.333333333333334,0.5972222222222222,14.333333333333334,0,78,680.99,0.19,Invalid data
1,0,14.416666666666666,0.6006944444444444,14.416666666666666,0,44,874.47,0.0,Invalid data
1,0,14.5,0.6041666666666666,14.5,6,95,625.16,0.06,Invalid data
1,0,14.583333333333334,0.6076388888888888,14.583333333333334,0,97,722.45,0.13,Invalid data
1,0,14.666666666666666,0.6111111111111112,14.666666666666666,0,113,692.96,0.19,Invalid data
1,0,14.75,0.6145833333333334,14.75,0,98,633.66,0.06,Invalid data
1,0,14.833333333333334,0.6180555555555556,14.833333333333334,0,114,713.09,0.06,Invalid data
1,0,14.916666666666666,0.6215277777777778,14.916666666666666,0,97,644.47,0.06,Invalid data
1,0,15.0,0.625,15.0,53,38,847.79,0.0,Invalid data
1,0,15.083333333333334,0.6284722222222222,15.083333333333334,83,35,760.84,0.06,Invalid data
1,0,15.166666666666666,0.6319444444444444,15.166666666666666,26,56,755.25,0.06,Invalid data
1,0,15.25,0.6354166666666666,15.25,0,0,694.53,0.19,Invalid data
1,0,15.333333333333334,0.6388888888888888,15.333333333333334,420,51,726.66,0.0,Invalid data
1,0,15.416666666666666,0.6423611111111112,15.416666666666666,33,76,37.31,0.94,
1,0,15.5,0.6458333333333334,15.5,91,74,50.72,0.75,
1,0,15.583333333333334,0.6493055555555556,15.583333333333334,634,95,122.98,0.63,Some IBI data discounted
1,0,15.666666666666666,0.6527777777777778,15.666666666666666,1676,103,20.16,1.0,
1,0,15.75,0.65625,15.75,624,88,53.53,0.94,
1,0,15.833333333333334,0.6597222222222222,15.833333333333334,514,78,62.65,0.88,
1,0,15.916666666666666,0.6631944444444444,15.916666666666666,937,100,15.56,0.94,Some IBI data discounted
1,0,16.0,0.6666666666666666,16.0,196,95,37.42,0.88,Some IBI data discounted
1,0,16.083333333333332,0.6701388888888888,16.083333333333332,107,93,33.41,0.88,Some IBI data discounted
1,0,16.166666666666668,0.6736111111111112,16.166666666666668,1223,108,18.56,0.94,
1,0,16.25,0.6770833333333334,16.25,2,102,25.69,0.94,
1,0,16.333333333333332,0.6805555555555556,16.333333333333332,38,99,29.73,0.81,
1,0,16.416666666666668,0.6840277777777778,16.416666666666668,10,98,28.55,0.88,
1,0,16.5,0.6875,16.5,37,98,24.03,0.81,
1,0,16.583333333333332,0.6909722222222222,16.583333333333332,1337,105,18.91,1.0,
1,0,16.666666666666668,0.6944444444444444,16.666666666666668,1010,110,18.56,0.94,Some IBI data discounted
1,0,16.75,0.6979166666666666,16.75,3234,119,11.71,1.0,
1,0,16.833333333333332,0.7013888888888888,16.833333333333332,1578,133,9.36,0.75,Some IBI data discounted
1,0,16.916666666666668,0.7048611111111112,16.916666666666668,243,105,21.83,0.88,Some IBI data discounted
1,0,17.0,0.7083333333333334,17.0,26,76,93.63,0.63,
1,0,17.083333333333332,0.7118055555555556,17.083333333333332,0,77,36.34,0.88,Some IBI data discounted
1,0,17.166666666666668,0.7152777777777778,17.166666666666668,1,77,23.51,1.0,
1,0,17.25,0.71875,17.25,17,81,26.62,1.0,
1,0,17.333333333333332,0.7222222222222222,17.333333333333332,195,102,18.8,0.88,
1,0,17.416666666666668,0.7256944444444444,17.416666666666668,114,80,36.78,0.94,
1,0,17.5,0.7291666666666666,17.5,170,101,23.07,0.88,Some IBI data discounted
1,0,17.583333333333332,0.7326388888888888,17.583333333333332,411,104,22.44,0.88,
1,0,17.666666666666668,0.7361111111111112,17.666666666666668,537,100,33.15,0.75,
1,0,17.75,0.7395833333333334,17.75,387,107,20.36,1.0,
1,0,17.833333333333332,0.7430555555555556,17.833333333333332,355,106,22.93,0.69,
1,0,17.916666666666668,0.7465277777777778,17.916666666666668,190,74,81.1,0.81,
1,0,18.0,0.75,18.0,16,72,47.65,0.88,Some IBI data discounted
1,0,18.08333333333333,0.7534722222222222,18.08333333333333,3,72,29.05,1.0,
1,0,18.166666666666668,0.7569444444444444,18.166666666666668,0,72,32.26,1.0,
1,0,18.25,0.7604166666666666,18.25,0,70,29.22,1.0,
1,0,18.33333333333333,0.7638888888888888,18.33333333333333,1,70,34.23,1.0,
1,0,18.416666666666668,0.7673611111111112,18.416666666666668,0,67,48.54,1.0,
1,0,18.5,0.7708333333333334,18.5,1,70,40.3,1.0,
1,0,18.58333333333333,0.7743055555555556,18.58333333333333,11,66,59.03,0.94,
