Activity,BPM,RMSSD,Quality,Comments,weekday,days,hours,abs_time_days,abs_time_hours
20,0,0,1,Invalid data,2,0,9,0.375,9
0,0,0,1,Invalid data,2,0,9.083333333,0.378472222,9.083333333
0,0,0,1,Invalid data,2,0,9.166666667,0.381944444,9.166666667
0,0,69.63,0.94,Some IBI data discounted,2,0,9.25,0.385416667,9.25
0,0,0,1,Invalid data,2,0,9.333333333,0.388888889,9.333333333
0,0,0,1,Invalid data,2,0,9.416666667,0.392361111,9.416666667
0,0,192.41,0.06,Some IBI data discounted,2,0,9.5,0.395833333,9.5
0,0,101.03,0.94,Some IBI data discounted,2,0,9.583333333,0.399305556,9.583333333
0,0,0,0.94,Invalid data,2,0,9.666666667,0.402777778,9.666666667
0,0,75.42,0.94,Some IBI data discounted,2,0,9.75,0.40625,9.75
0,0,0,1,Invalid data,2,0,9.833333333,0.409722222,9.833333333
0,0,0,1,Invalid data,2,0,9.916666667,0.413194444,9.916666667
43,0,794.73,0.06,Invalid data,2,0,10,0.416666667,10
40,0,735.71,0,Invalid data,2,0,10.08333333,0.420138889,10.08333333
0,0,779.88,0.06,Invalid data,2,0,10.16666667,0.423611111,10.16666667
0,0,941.4,0.06,Invalid data,2,0,10.25,0.427083333,10.25
0,68,934.42,0.06,Invalid data,2,0,10.33333333,0.430555556,10.33333333
50,0,754.09,0.06,Invalid data,2,0,10.41666667,0.434027778,10.41666667
0,45,769.03,0.19,Invalid data,2,0,10.5,0.4375,10.5
162,29,652.51,0.38,Invalid data,2,0,10.58333333,0.440972222,10.58333333
99,61,541.37,0,Invalid data,2,0,10.66666667,0.444444444,10.66666667
49,62,36.57,1,,2,0,10.75,0.447916667,10.75
25,58,40.92,1,,2,0,10.83333333,0.451388889,10.83333333
2176,69,33.69,0.94,,2,0,10.91666667,0.454861111,10.91666667
279,68,37.88,1,,2,0,11,0.458333333,11
1106,71,27.85,0.94,Some IBI data discounted,2,0,11.08333333,0.461805556,11.08333333
1277,69,51.77,0.94,Some IBI data discounted,2,0,11.16666667,0.465277778,11.16666667
1215,76,28.63,1,,2,0,11.25,0.46875,11.25
1183,101,14.61,0.88,Some IBI data discounted,2,0,11.33333333,0.472222222,11.33333333
968,84,25.8,1,,2,0,11.41666667,0.475694444,11.41666667
448,63,43.09,0.94,,2,0,11.5,0.479166667,11.5
2,58,46.52,0.88,,2,0,11.58333333,0.482638889,11.58333333
1,56,53.69,1,,2,0,11.66666667,0.486111111,11.66666667
706,64,48.09,0.75,,2,0,11.75,0.489583333,11.75
890,71,33.33,1,,2,0,11.83333333,0.493055556,11.83333333
1213,65,31.92,1,,2,0,11.91666667,0.496527778,11.91666667
3060,73,38.95,0.9,Some IBI data discounted,2,0,12,0.5,12
2149,61,37.53,1,,2,0,12.08333333,0.503472222,12.08333333
31,55,96.78,0.81,Some IBI data discounted,2,0,12.16666667,0.506944444,12.16666667
12,54,62.5,0.88,,2,0,12.25,0.510416667,12.25
30,52,101.93,0.88,Some IBI data discounted,2,0,12.33333333,0.513888889,12.33333333
30,54,107.45,0.75,Some IBI data discounted,2,0,12.41666667,0.517361111,12.41666667
27,52,139.02,0.88,Some IBI data discounted,2,0,12.5,0.520833333,12.5
21,53,62.67,0.94,,2,0,12.58333333,0.524305556,12.58333333
10,51,72.11,0.88,,2,0,12.66666667,0.527777778,12.66666667
7,56,54.89,1,,2,0,12.75,0.53125,12.75
11,61,43.16,1,,2,0,12.83333333,0.534722222,12.83333333
15,60,42.15,1,,2,0,12.91666667,0.538194444,12.91666667
14,58,72.6,0.94,Some IBI data discounted,2,0,13,0.541666667,13
3014,84,75.24,0.88,Some IBI data discounted,2,0,13.08333333,0.545138889,13.08333333
1384,76,91.13,0.88,Some IBI data discounted,2,0,13.16666667,0.548611111,13.16666667
3,57,27.6,1,,2,0,13.25,0.552083333,13.25
429,64,122.48,0.09,Some IBI data discounted,2,0,13.33333333,0.555555556,13.33333333
316,59,88.46,0.31,Some IBI data discounted,2,0,13.41666667,0.559027778,13.41666667
928,75,332.24,0.13,Invalid data,2,0,13.5,0.5625,13.5
1860,77,469.25,0.06,Invalid data,2,0,13.58333333,0.565972222,13.58333333
1231,100,380.25,0.13,Invalid data,2,0,13.66666667,0.569444444,13.66666667
844,69,338.28,0.06,Invalid data,2,0,13.75,0.572916667,13.75
93,58,45.7,0.88,Some IBI data discounted,2,0,13.83333333,0.576388889,13.83333333
0,53,43.14,1,,2,0,13.91666667,0.579861111,13.91666667
0,51,41.99,1,,2,0,14,0.583333333,14
0,51,47.9,1,,2,0,14.08333333,0.586805556,14.08333333
1,50,45.26,1,,2,0,14.16666667,0.590277778,14.16666667
106,59,233.46,0.56,,2,0,14.25,0.59375,14.25
47,69,294.58,0,,2,0,14.33333333,0.597222222,14.33333333
158,64,428.92,0.2,Invalid data,2,0,14.41666667,0.600694444,14.41666667
5,56,108.93,0.88,Some IBI data discounted,2,0,14.5,0.604166667,14.5
0,56,119.27,0.88,Some IBI data discounted,2,0,14.58333333,0.607638889,14.58333333
228,54,414.41,0.31,Invalid data,2,0,14.66666667,0.611111111,14.66666667
0,48,50.61,1,,2,0,14.75,0.614583333,14.75
0,45,43.96,1,,2,0,14.83333333,0.618055556,14.83333333
1,45,47.7,1,,2,0,14.91666667,0.621527778,14.91666667
230,59,266.01,0.56,,2,0,15,0.625,15
1842,62,337.66,0,Invalid data,2,0,15.08333333,0.628472222,15.08333333
257,63,291.95,0.75,,2,0,15.16666667,0.631944444,15.16666667
406,63,425.59,0.5,Invalid data,2,0,15.25,0.635416667,15.25
625,71,676.94,0.25,Invalid data,2,0,15.33333333,0.638888889,15.33333333
